roomid,userid,username
4885925,15112,mbenl
4885925,134957,jkooq
4885925,924189,srayb
4958037,1013,scone
4958037,74931,yhpri
4965377,350381,gsoeder
4965377,1037483,pyedor
5039470,1017,cspag
5039470,1483721,msch6
5039470,1486497,ddowo
5039470,1569531,mkist
5039470,4959341,ndia3
5148302,351739,mhole
5242276,48188,lmcgq
5242276,55980,mbown
5242276,351643,zhark
5242276,914960,mmo2r
5242276,1499459,dquid
5286401,1367,cmck6
5300162,1324,hmcgi
5300162,350895,kdahl
5300162,351215,dlindhol
5300162,351928,jjose
5300162,352560,gmadk
5300162,2421639,yshau
5300162,3323720,sscjc
5300162,4096913,pcroz
5300162,4427546,garaf
5300162,8285217,ocumm
5312704,66874,a1999
5312704,74931,yhpri
5312704,721429,kchi3
5382338,6359861,ldham
5502440,55980,mbown
5547044,100707,RMOLINA
5547044,126288,sdimi
5627039,1437,wswaa
5627039,14874,emakdah
5627039,355361,jskem
5627039,3323720,sscjc
5627039,10739172,salm8
5686693,350482,jblb9
5686693,351437,sgint
5686693,352560,gmadk
5686693,352754,jmcce
5686693,354281,jro2r
5732618,1446,jwas3
5732618,44208,jhansen
5732618,454151,tmali
5732618,897131,acj2t
5732618,924186,cbrua
5732618,924188,mnanj
5732618,924190,rsmyu
5732618,928712,pture
5732618,5610055,staal
5732618,5721124,efong
5741237,9775779,rrodl
5769983,14562,pdoct
5769983,66874,a1999
5769983,74931,yhpri
5769983,883414,igugl
5777806,76295,akasp
6008933,74931,yhpri
6032095,74931,yhpri
6205331,354286,foodo
6205331,967918,mwatts
6361528,45821,bkeit
6484843,350778,dchou
6484843,350831,hcooo
6484843,351145,bduan
6484843,351236,efarr
6484843,352172,mkodi
6484843,354163,bnagu
6484843,354286,foodo
6484843,967918,mwatts
6484843,1431964,rvaiy
6484843,6793096,gtati
6484843,7344531,jcocp
6484857,354286,foodo
6571563,354923,orodv
6571563,894775,sedeo
6571563,909348,rtala
6571563,928712,pture
6571563,1600455,tpark
6571563,3466245,eidze
6571563,5269959,kraoq
6663876,1330,shyaa
6663876,70869,lleaf
6663876,320264,kga32
6663876,352470,clewf
6663876,1379371,khysl
6663876,5846942,tfit4
6663876,5965852,C3389
6663876,7177011,edal2
6663876,7465184,wvanc
6704786,354286,foodo
6704788,354286,foodo
6738749,55163,ggumb
6738749,134957,jkooq
6738749,6162025,gmelm
7011107,1331,ingamsdp
7011107,49204,acy2k
7284961,14562,pdoct
7284961,280453,bkana
7284961,354490,ddef0
7284961,950190,rsauo
7284961,4417635,acq8n
7284961,7177672,kric8
7586536,1014,twi3d
7586536,1364,cmchq
8361648,1293,mbenf
8361648,351149,cdudd
8485974,8046,dca3p
8485974,80420,msmjz
8691243,355966,swiest
8691243,6056031,jhawg
8900779,42675,pagrf
8900779,350363,aradd
8921614,352916,ameh4
8921614,354771,hranc
8921614,6059890,hmcmu
8921614,6374249,rdalu
8921614,7619633,nmehz
8993781,15101,ragaw
8993781,355537,asunx
8993781,5223089,dchor
8993781,7057937,ganim
8993781,12008644,bvarj
8993781,12008848,srapw
9191973,1316,rgilk
